t = 55, completed file 1
t = 56, completed file 2906
t = 57, completed file 1656
t = 58, completed file 1575
t = 59, completed file 3215
t = 60, completed file 1437
t = 61, completed file 724
t = 62, completed file 339
t = 63, completed file 3425
t = 64, completed file 3527
t = 65, completed file 3512
t = 66, completed file 3642
t = 67, completed file 3708
t = 68, completed file 3509
t = 69, completed file 3492
t = 70, completed file 3864
t = 71, completed file 3853
t = 72, completed file 3997
t = 73, completed file 2813
t = 74, completed file 4114
t = 75, completed file 4096
t = 76, completed file 4090
t = 77, completed file 4263
t = 78, completed file 2764
t = 79, completed file 875
t = 80, completed file 4493
t = 81, completed file 4485
t = 82, completed file 4580
t = 83, completed file 4652
t = 84, completed file 4648
t = 85, completed file 1117
t = 86, completed file 586
t = 87, completed file 4641
t = 88, completed file 4963
t = 89, completed file 5013
t = 90, completed file 5003
t = 91, completed file 5110
t = 92, completed file 5195
t = 93, completed file 5180
t = 94, completed file 4637
t = 95, completed file 5357
t = 96, completed file 504
t = 97, completed file 4624
t = 98, completed file 5577
t = 99, completed file 2581
t = 100, completed file 2109
t = 101, completed file 5737
t = 102, completed file 5722
t = 103, completed file 5881
t = 104, completed file 5715
t = 105, completed file 5974
t = 106, completed file 1914
t = 107, completed file 6079
t = 108, completed file 2521
t = 109, completed file 6238
t = 110, completed file 6294
t = 111, completed file 2655
t = 112, completed file 6380
t = 113, completed file 6473
t = 114, completed file 6427
t = 115, completed file 2629
t = 116, completed file 2754
t = 117, completed file 2049
t = 118, completed file 1319
t = 119, completed file 614
t = 120, completed file 6874
t = 121, completed file 6872
t = 122, completed file 6870
t = 123, completed file 7065
t = 124, completed file 7115
t = 125, completed file 7143
t = 126, completed file 7112
t = 127, completed file 7289
t = 128, completed file 525
t = 130, completed file 7340
t = 131, completed file 7542
t = 132, completed file 7506
t = 134, completed file 7555
t = 136, completed file 7798
t = 138, completed file 7920
t = 139, completed file 7945
t = 141, completed file 8046
t = 142, completed file 8162
t = 144, completed file 7740
t = 145, completed file 8400
t = 146, completed file 8342
t = 147, completed file 8520
t = 148, completed file 8472
t = 149, completed file 8607
t = 151, completed file 6993
t = 152, completed file 8704
t = 154, completed file 8872
t = 156, completed file 6775
t = 158, completed file 9069
t = 160, completed file 9224
t = 161, completed file 9275
t = 163, completed file 818
t = 164, completed file 9442
t = 166, completed file 6401
t = 167, completed file 9701
t = 169, completed file 6279
t = 171, completed file 4047
t = 172, completed file 10008
t = 174, completed file 4075
