t = 16, completed file 1
t = 17, completed file 693
t = 30, completed file 37
t = 31, completed file 1414
t = 32, completed file 792
t = 33, completed file 1665
t = 34, completed file 1740
t = 71, completed file 106
t = 72, completed file 3965
t = 73, completed file 4038
t = 74, completed file 4095
t = 75, completed file 3805
t = 76, completed file 3770
t = 77, completed file 3498
t = 145, completed file 842
t = 146, completed file 8451
t = 147, completed file 7768
t = 148, completed file 8544
t = 149, completed file 7629
t = 150, completed file 7593
t = 151, completed file 8746
t = 221, completed file 4092
t = 222, completed file 12910
t = 223, completed file 12874
t = 224, completed file 13094
t = 329, completed file 4085
t = 330, completed file 19235
t = 331, completed file 16119
t = 332, completed file 19609
t = 333, completed file 15435
t = 334, completed file 15360
t = 335, completed file 15355
t = 403, completed file 4053
t = 404, completed file 23608
t = 508, completed file 16407
t = 509, completed file 24942
t = 510, completed file 24792
t = 581, completed file 497
t = 679, completed file 25022
t = 751, completed file 12455
t = 776, completed file 6206
t = 805, completed file 12486
t = 832, completed file 12437
t = 847, completed file 12346
t = 864, completed file 6186
t = 973, completed file 12351
t = 975, completed file 24806
t = 1087, completed file 12357
t = 1128, completed file 3085
t = 1140, completed file 1723
t = 1158, completed file 14064
t = 1269, completed file 826
t = 1289, completed file 3071
t = 1379, completed file 12301
t = 1397, completed file 6610
t = 1422, completed file 12296
t = 1428, completed file 12342
t = 1500, completed file 24726
t = 1602, completed file 7050
t = 1681, completed file 24680
t = 1694, completed file 16170
t = 1721, completed file 56
t = 1725, completed file 24699
t = 1746, completed file 807
t = 1823, completed file 6522
t = 1851, completed file 12666
t = 1959, completed file 24788
t = 1979, completed file 2027
t = 2062, completed file 13040
t = 2130, completed file 6758
t = 2160, completed file 12298
t = 2261, completed file 15914
t = 2368, completed file 6924
t = 2495, completed file 14068
t = 2516, completed file 12643
t = 2540, completed file 12309
t = 2642, completed file 24614
t = 2735, completed file 12208
t = 2736, completed file 6642
t = 2857, completed file 15910
t = 2924, completed file 24579
t = 2960, completed file 24908
t = 3021, completed file 16216
t = 3033, completed file 15749
t = 3088, completed file 15736
t = 3202, completed file 12243
t = 3297, completed file 13091
t = 3417, completed file 16181
t = 3510, completed file 12440
t = 3554, completed file 24345
t = 3664, completed file 13455
t = 3791, completed file 12876
t = 3848, completed file 12310
t = 3903, completed file 23913
t = 3948, completed file 13089
t = 3963, completed file 12555
t = 4038, completed file 15989
t = 4097, completed file 6487
t = 4144, completed file 12219
t = 4146, completed file 3951
t = 4210, completed file 15847
t = 4316, completed file 23883
t = 4425, completed file 7981
t = 4488, completed file 6572
t = 4564, completed file 13231
t = 4623, completed file 3635
t = 4697, completed file 12099
t = 4817, completed file 6999
t = 4838, completed file 5469
t = 4885, completed file 8101
t = 4997, completed file 24825
t = 5082, completed file 13937
t = 5160, completed file 6093
t = 5251, completed file 3555
t = 5366, completed file 3160
t = 5398, completed file 772
t = 5484, completed file 15694
t = 5486, completed file 11961
t = 5584, completed file 23899
t = 5636, completed file 7284
t = 5714, completed file 16389
t = 5723, completed file 15875
t = 5743, completed file 7885
t = 5843, completed file 13501
t = 5905, completed file 6965
t = 5907, completed file 23829
t = 5979, completed file 5928
t = 5988, completed file 7148
t = 6040, completed file 14333
t = 6076, completed file 13049
t = 6189, completed file 24012
t = 6223, completed file 6047
t = 6232, completed file 12239
t = 6357, completed file 24546
t = 6481, completed file 7594
t = 6488, completed file 16341
t = 6589, completed file 24496
t = 6633, completed file 15771
t = 6743, completed file 12696
t = 6858, completed file 12888
t = 6964, completed file 15510
t = 6967, completed file 1326
t = 7052, completed file 2909
t = 7144, completed file 661
t = 7158, completed file 14975
t = 7256, completed file 7998
t = 7366, completed file 806
t = 7429, completed file 12535
t = 7554, completed file 13294
t = 7631, completed file 3430
t = 7639, completed file 24412
t = 7666, completed file 11206
t = 7734, completed file 12959
t = 7809, completed file 24616
t = 7889, completed file 3833
t = 7974, completed file 3779
t = 8024, completed file 12708
t = 8105, completed file 2815
t = 8188, completed file 22756
t = 8224, completed file 7364
t = 8228, completed file 6378
t = 8261, completed file 12771
t = 8348, completed file 12885
t = 8440, completed file 24733
t = 8504, completed file 16232
t = 8572, completed file 22547
t = 8580, completed file 7162
t = 8589, completed file 24702
t = 8619, completed file 13935
t = 8733, completed file 3086
t = 8800, completed file 6701
t = 8834, completed file 11366
t = 8839, completed file 11384
t = 8872, completed file 22793
t = 8882, completed file 304
t = 8914, completed file 20448
t = 8988, completed file 248
t = 9107, completed file 7902
t = 9216, completed file 24283
t = 9243, completed file 11095
t = 9279, completed file 4037
t = 9282, completed file 13891
t = 9371, completed file 7004
t = 9477, completed file 1593
t = 9578, completed file 12856
t = 9699, completed file 16360
t = 9793, completed file 5927
t = 9852, completed file 22551
t = 9894, completed file 12837
t = 9987, completed file 2133
t = 10015, completed file 3869
t = 10132, completed file 6193
t = 10188, completed file 15309
t = 10233, completed file 13671
t = 10323, completed file 23418
t = 10343, completed file 38
t = 10467, completed file 111
t = 10515, completed file 6291
t = 10574, completed file 13805
t = 10584, completed file 12880
t = 10666, completed file 3310
t = 10715, completed file 12502
t = 10729, completed file 6191
t = 10799, completed file 3106
t = 10924, completed file 24137
t = 10943, completed file 3354
t = 11026, completed file 7067
t = 11041, completed file 22371
t = 11074, completed file 21751
t = 11117, completed file 9916
t = 11227, completed file 10496
t = 11286, completed file 7612
t = 11406, completed file 11208
t = 11505, completed file 6867
t = 11521, completed file 3797
t = 11619, completed file 15240
t = 11667, completed file 24911
t = 11682, completed file 20672
t = 11788, completed file 3321
t = 11791, completed file 12281
t = 11829, completed file 23600
t = 11904, completed file 22156
t = 11976, completed file 22552
t = 12006, completed file 24887
t = 12082, completed file 10081
t = 12115, completed file 406
t = 12241, completed file 855
t = 12306, completed file 6852
t = 12379, completed file 3661
t = 12468, completed file 1757
t = 12482, completed file 16024
t = 12496, completed file 13035
t = 12594, completed file 21713
t = 12711, completed file 7975
t = 12718, completed file 3230
t = 12825, completed file 809
t = 12909, completed file 12007
t = 13020, completed file 11115
t = 13141, completed file 15019
t = 13176, completed file 10904
t = 13289, completed file 13564
t = 13396, completed file 6958
t = 13477, completed file 23138
t = 13547, completed file 15092
t = 13672, completed file 12412
t = 13697, completed file 6361
t = 13820, completed file 5760
t = 13824, completed file 23199
t = 13858, completed file 23185
t = 13883, completed file 15208
t = 13960, completed file 6446
t = 14052, completed file 23329
t = 14136, completed file 13887
t = 14165, completed file 1440
t = 14209, completed file 24706
t = 14217, completed file 3665
t = 14307, completed file 13014
t = 14428, completed file 5801
t = 14438, completed file 10514
t = 14450, completed file 21097
t = 14452, completed file 22887
t = 14489, completed file 2802
t = 14539, completed file 16624
t = 14612, completed file 13604
t = 14707, completed file 6565
t = 14742, completed file 21736
t = 14861, completed file 3391
t = 14931, completed file 6872
t = 15046, completed file 10778
t = 15062, completed file 24883
t = 15099, completed file 286
t = 15123, completed file 12505
t = 15211, completed file 20916
t = 15215, completed file 14585
t = 15261, completed file 14572
t = 15275, completed file 24899
t = 15376, completed file 8124
t = 15404, completed file 22915
t = 15501, completed file 13206
t = 15543, completed file 3098
t = 15646, completed file 13875
t = 15665, completed file 14968
t = 15690, completed file 13939
t = 15691, completed file 24577
t = 15787, completed file 25017
t = 15878, completed file 11128
